analysis,delta_auroc,ci95_lower,ci95_upper,interpretation,convergence_warnings
vmost_vs_vno,-0.07576007931262403,-0.11803816360612275,-0.0401582545748089,The expanded model performs worse under the locked procedure.,0
stratified_random,-0.06575704591815497,-0.09369597603344472,-0.03577565436449559,The expanded model performs worse under the locked procedure.,0
class_balanced,-0.07781732650597402,-0.11135856729603545,-0.039209481774350984,The expanded model performs worse under the locked procedure.,0
