model,auroc,pr_auroc,brier,sensitivity,specificity,precision,balanced_accuracy,calibration_intercept,calibration_slope
A,0.7249396361517007,0.8302024295055308,0.1800661570233218,0.7078556263269639,0.6058823529411764,0.8060385827300849,0.6568689896340703,0.11021372747103997,0.8537743016325651
B,0.7626326963906582,0.8506403812524077,0.16626968020482208,0.7626326963906582,0.6470588235294118,0.8336761386211758,0.7048457599600348,-0.027240378231673808,0.9435770470239502
C,0.6606823196369843,0.7904335698727307,0.21923072370788552,0.6509554140127388,0.5892156862745098,0.7854540155349156,0.6200855501436243,0.7016317246581834,0.7609169553584492
D,0.6822176428957996,0.8015565976298941,0.19554695737773936,0.6845010615711252,0.5941176470588235,0.7958511179302624,0.6393093543149744,0.390591259563341,0.5891939045491712
